0,4,58,343
0,9,68,170
1,1,89,462
1,2,90,415
1,3,92,379
1,4,93,343
1,5,95,310
1,6,97,272
1,7,98,237
1,8,99,203
1,9,101,169
1,10,102,136
1,11,104,103
1,12,105,66
1,13,107,40
2,1,116,463
2,2,117,416
2,3,118,379
2,4,119,344
2,5,121,310
2,6,122,273
2,7,124,238
2,8,125,204
2,9,126,170
2,10,127,136
2,11,128,104
2,12,129,66
2,13,131,40
3,1,162,463
3,2,163,416
3,3,164,379
3,4,166,343
3,5,167,310
3,6,168,274
3,7,169,237
3,8,170,204
3,9,171,170
3,10,172,136
3,11,172,104
3,12,173,67
3,13,175,40
4,1,199,463
4,2,200,416
4,3,200,379
4,4,202,343
4,5,203,310
4,6,200,274
4,7,200,237
4,8,205,205
4,9,205,171
4,10,205,136
4,11,205,103
4,12,207,67
4,13,208,41
5,1,246,463
5,2,246,416
5,3,247,380
5,4,247,344
5,5,248,310
5,6,248,274
5,7,249,239
5,8,250,205
5,9,250,172
5,10,250,138
5,11,251,106
5,12,251,68
5,13,252,41
6,1,262,463
6,2,262,416
6,3,263,380
6,4,263,344
6,5,263,311
6,6,264,274
6,7,264,240
6,8,264,206
6,9,264,172
6,10,265,139
6,11,265,106
6,12,265,69
6,13,265,42
7,1,308,463
7,2,308,416
7,3,308,380
7,4,308,345
7,5,309,311
7,6,309,274
7,7,309,240
7,8,309,206
7,9,309,173
7,10,309,139
7,11,309,106
7,12,309,69
7,13,309,43
8,1,344,463
8,2,344,416
8,3,344,380
8,4,344,345
8,5,344,311
8,6,344,274
8,7,344,240
8,8,343,207
8,9,343,173
8,10,343,139
8,11,343,106
8,12,342,70
8,13,342,44
9,1,390,463
9,2,389,416
9,3,389,381
9,4,389,345
9,5,388,312
9,6,388,275
9,7,388,241
9,8,387,207
9,9,387,174
9,10,386,141
9,11,386,108
9,12,386,71
9,13,386,44
10,1,405,463
10,2,405,416
10,3,404,381
10,4,404,345
10,5,403,312
10,6,402,275
10,7,402,242
10,8,401,208
10,9,401,174
10,10,400,142
10,11,400,109
10,12,399,72
10,13,399,45
11,1,451,463
11,2,451,416
11,3,451,381
11,4,448,345
11,5,448,312
11,6,448,275
11,7,448,242
11,8,446,208
11,9,445,175
11,10,445,142
11,11,445,109
11,12,442,72
11,13,441,46
12,1,486,463
12,2,486,416
12,3,486,381
12,4,483,346
12,5,482,313
12,6,482,275
12,7,482,242
12,8,479,209
12,9,478,176
12,10,478,142
12,11,478,109
12,12,475,74
12,13,474,48
13,1,530,462
13,2,529,417
13,3,528,381
13,4,527,346
13,5,526,313
13,6,525,277
13,7,524,243
13,8,523,209
13,9,521,176
13,10,520,144
13,11,519,112
13,12,517,75
13,13,516,49
14,1,554,462
14,2,553,417
14,3,552,381
14,4,551,346
14,5,550,313
14,6,549,277
14,7,547,243
14,8,546,210
14,9,544,177
14,10,542,145
14,11,541,113
14,12,539,76
14,13,536,49
